included_id	id	title	resultado_negativo	adverse_mechanism_classes	controlled_comparison_status	architecture_status	limitacoes	ameacas_validade	custo_vs_baseline
I066	zhao2026phyloevolve	Large Language Model-Powered Evolutionary Code Optimization on a Phylogenetic Tree	sim	memory_growth_or_context_pressure;cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence;verification_or_correctness_failure;human_or_workflow_dependence;hardware_or_platform_dependence	no_no_persistence_or_nonmemory_baseline	arch_self_evolution_archive	The system lacks hardware-aware cost models, can be inefficient for computationally heavy workloads, focuses on NVIDIA GPUs, does not address multi-GPU or distributed execution, and may produce occasional low-quality LLM-generated modifications.	Results depend on empirical runtime measurement, hardware/backend choice, benchmark workload selection, container execution, pruning settings, LLM proposal quality, and the absence of a theoretical account of when trajectory reuse yields stable improvement operators.	No monetary or token-cost comparison is reported; the discussion emphasizes that trajectory-conditioned reuse reduces redundant exploration but still depends on empirical evaluation.
I067	fu2026latentmem	LatentMem: Customizing Latent Memory for Multi-Agent Systems	sim	retrieval_or_memory_noise;memory_growth_or_context_pressure;cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;verification_or_correctness_failure	yes_no_persistence_or_memory_ablation	arch_experience_bank	The paper emphasizes effectiveness and efficiency but still depends on collected in-domain trajectories, learned composer behavior, role-profile quality, and benchmark/MAS framework coverage; out-of-domain generalization is evaluated but not exhaustive.	Results may depend on synthetic coding and planning benchmarks, selected MAS frameworks, trajectory collection protocol, composer base model, LMPO reward design, latent-length and retrieval-count settings, and LLM-as-component implementation choices.	LatentMem is reported as fastest and lowest-token among memory baselines in the added cost figures; examples include 1.76e6 tokens on AutoGen+KodCode versus G-Memory at 3.04e6 and 1.09e4 seconds on MacNet+KodCode versus G-Memory at 2.02e4.
I068	li2026learningcommit	Learning to Commit: Generating Organic Pull Requests via Online Repository Memory	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence;verification_or_correctness_failure	yes_no_persistence_or_memory_ablation	arch_repository_memory	Evaluation is a pilot on one highly coupled expert-maintained repository with 7 future held-out tasks; LLM judges may introduce bias; public multi-repository generalization is left for future work.	Synthetic issue generation, LLM-based commit filtering and judging, small future-test sample, single repository domain, temporal split construction, and skill verbosity may influence the organicity results.	The skill-conditioned agent uses fewer trajectory steps in seq-all (56.8 versus 71.9) and slightly fewer or similar steps in most settings, but no monetary cost is reported.
I069	li2026memcoder	MEMCoder: Multi-dimensional Evolving Memory for Private-Library-Oriented Code Generation	sim	retrieval_or_memory_noise;memory_growth_or_context_pressure;cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence	yes_no_persistence_or_memory_ablation	arch_repository_memory	Additional memory injection and reflection introduce token overhead; long-term memory growth may cause retrieval inefficiency and knowledge conflicts; benchmark scope is private-library generation on NdonnxEval and NumbaEval.	Results depend on local open-source models, bge-base-en-prior.5 retrieval, task ordering, memory-guideline quality, execution feedback reliability, private-library benchmark representativeness, and memory conflict management.	MEMCoder adds token overhead for memory injection and guideline refinement compared with naive RAG, but the paper estimates the added full-NumbEval cost as about USD 0.46.
I070	chang2026memcollab	MemCollab: Cross-Agent Memory Collaboration via Contrastive Trajectory Distillation	sim	retrieval_or_memory_noise;memory_growth_or_context_pressure;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence;human_or_workflow_dependence	yes_no_persistence_or_memory_ablation	arch_shared_memory	Direct memory transfer between models can degrade performance; too many retrieved memory entries can reduce performance after a task-dependent threshold; evaluation spans math and code benchmarks rather than full software-engineering workflows.	Results depend on task classification, TF-IDF retrieval, top-3 memory budget, paired-agent choice, benchmark sample construction, random seed, and whether contrastive summaries suppress model-specific biases without dropping useful details.	MemCollab reduces average reasoning turns for Qwen2.5-7B: MATH500 2.7 to 2.2, GSM8K 1.8 to 1.6, MBPP 3.1 to 1.4, and HumanEval 3.3 to 1.5.
I071	wang2026memgovern	MemGovern: Enhancing Code Agents through Learning from Governed Human Experiences	nao	no_adverse_evidence	yes_no_persistence_or_memory_ablation	arch_experience_bank	Overhead de tokens adicionais para busca na memória experiencial; experience cards construídos offline via GPT-5.1 (custo de construção não reportado); estratégias de compressão de memória não exploradas; Index Layer remove especificidade de repositório	SWE-bench Verified como único benchmark; experience cards geradas por GPT-5.1 podem ter viés; 150K triplets GitHub pré-filtrados podem sobrepor temporalmente com SWE-bench; avaliação de quality control via LLM-judge; human evaluation limitada a 100 repositórios para seleção	Overhead moderado: $6.94→$7.27 com Claude 4 Sonnet (+4.8%); $0.14→$0.20 com GPT-4o-Mini (+43%); proporcional ao uso de Searching/Browsing tools
I073	kim2026memorytransfer	Memory Transfer Learning: How Memories are Transferred Across Domains in Coding Agents	sim	retrieval_or_memory_noise;cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence	yes_no_persistence_or_memory_ablation	arch_experience_bank	Memory transfer can cause negative transfer through domain-mismatched anchors, false validation confidence, and misapplied best-practice transfer; advanced static retrieval strategies underperform simple embedding similarity.	Results depend on sampled benchmark tasks, GPT-5-mini memory generation and judging, embedding retrieval, source-domain composition, memory format prompts, cross-model transfer setup, and whether benchmark domains represent real deployment diversity.	MTL uses fewer stored memories than AgentKB in the self-evolving comparison (431 versus 5,899) while reaching a higher average score; no monetary or token-cost comparison is reported.
I074	feng2026odel	ODEL: An Experience-Augmented Self-Evolving Framework for Efficient Python-to-C++ Code Translation	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence;verification_or_correctness_failure;human_or_workflow_dependence	yes_no_persistence_or_memory_ablation	arch_experience_bank	The multi-phase evaluation uses a fixed HumanEval-X task set and consistent task ordering; results reflect sustained learning under a stable stream rather than strict order-invariant generalization.	Findings depend on generated test cases, verification feedback quality, HumanEval-X representativeness, external teacher model quality, task ordering, and potential leakage concerns mitigated by storing abstract error patterns rather than task-specific solutions.	No numeric cost comparison is reported; ODEL invokes the external DeepSeek 685B teacher only on verification failure, while routine translation remains with the internal model.
I076	jiang2026opengame	OpenGame: Open Agentic Coding for Games	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;safety_or_security_risk;verification_or_correctness_failure;hardware_or_platform_dependence	yes_nonmemory_external_baseline	arch_skill_rule_library	Even the full OpenGame leaves about 34.9% of weighted mechanical requirements partially or fully unsatisfied; strategy and Puzzle/UI genres remain difficult because silent logic desynchronization may not trigger compiler or runtime errors.	Results depend on OpenGame-Bench prompt design, VLM judging, Phaser instruction constraints for baselines, valid-run filtering, browser execution, seed averaging, and whether web-game tasks generalize to other software domains or engines.	No numeric cost comparison is reported; ablation shows bounded iterative debugging improves reliability and begins to plateau after three iterations.
I077	li2026opensage	OpenSage: Self-programming Agent Generation Engine	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;human_or_workflow_dependence	yes_no_persistence_or_memory_ablation	arch_knowledge_graph_case_base	The paper notes that current SOTA models do not yet use OpenSage's advanced features consistently and may misuse them, indicating a model-capability gap for AI-centered agent construction.	Results depend on benchmark leaderboards, selected backbones, added task-specific code for SWE-Bench Pro, graph-memory schema/tool design, generated node types, memory-agent decisions, and whether ADK-level gains generalize beyond the evaluated environments.	The Terminal-Bench collaboration analysis reports that pairing Gemini 3 Pro for planning/review with GPT-5 Mini for execution matches GPT-5 performance while reducing cost compared with Gemini 3 Pro alone.
I078	li2026ocrd	Outcome-Conditioned Reasoning Distillation for Resolving Software Issues	sim	retrieval_or_memory_noise;cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence	yes_nonmemory_external_baseline	arch_skill_rule_library	The evaluation is limited to SWE-Bench Lite and depends on same-repository historical fixes; exemplar mismatch can cause negative transfer, and the cost comparison is against a controlled MCTS-style baseline rather than every possible search system.	Results depend on temporal filtering of historical issues, quality of verified patches, Agentless integration choices, LLM compatibility judgments, SWE-Bench Lite representativeness, and whether similar historical repairs exist for future repositories.	In the reasoning-plan ablation, O-CRD with BRD achieves higher Pass@1 than the MCTS-style variant while using substantially fewer LLM calls and tokens.
I079	wu2026reasoningmemory	Procedural Knowledge at Scale Improves Reasoning	sim	retrieval_or_memory_noise;memory_growth_or_context_pressure;cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;verification_or_correctness_failure;human_or_workflow_dependence	yes_no_persistence_or_memory_ablation	arch_experience_bank	Document retrieval can degrade reasoning models; the method can fail when self-verbalized queries become over-specific or when retrieved procedures mismatch the problem setup; benefits vary after similar corpus knowledge is internalized by model training.	Results depend on Nemotron-derived trajectory coverage, decomposition prompt quality, ReasonIR retrieval, benchmark contamination assumptions, sample-budget choices, and whether math/science/coding reasoning transfers to agentic software-engineering workflows.	The method can outperform retrieval-free Length Scaling at matched sample budgets, but the paper does not provide monetary or end-to-end token-cost comparisons.
I080	hao2026recreate	ReCreate: Reasoning and Creating Domain Agents Driven by Experience	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence;safety_or_security_risk;verification_or_correctness_failure;hardware_or_platform_dependence	yes_nonmemory_external_baseline	arch_experience_bank	ReCreate optimizes textual and code-level scaffolds but not infrastructure or execution environments, and it does not update base model parameters.	Results depend on small sampled development sets, benchmark-specific scaffold design spaces, use of gpt-5-mini and claude-4.5-opus, Docker sandbox execution, cost-estimation assumptions, and whether domain-agent creation from minimal seeds generalizes beyond the tested domains.	Compared with ADAS, ReCreate is reported to reduce scaffold-optimization cost by roughly 36% to 82% because it uses interaction evidence and smaller development sets rather than repeated candidate evaluation.
I081	gangireddi2026revere	REVERE: Reflective Evolving Research Engineer for Scientific Workflows	sim	memory_growth_or_context_pressure;cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;human_or_workflow_dependence	yes_no_persistence_or_memory_ablation	arch_skill_rule_library	Prompt and Global Training Context growth remain a challenge; REVERE still shows degraded CodeBERTScore on ScienceAgentBench relative to Static SOTA, and the paper notes the difficulty of capturing highly task-specific knowledge through prompt benchmarks.	Results depend on GPT-4.1's long context window, benchmark split choices, use of optional ground-truth hints in offline adaptation, estimated cost accounting, and whether research-coding heuristics transfer to broader software-engineering tasks.	REVERE is reported to be up to about 10x more cost-effective than ACE and GEPA in adaptation overhead, using targeted edits and Global Training Context rather than refinement and Pareto selection.
I082	singh2026ruleflow	RuleFlow: Generating Reusable Program Optimizations with LLMs	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence;verification_or_correctness_failure;human_or_workflow_dependence	yes_nonmemory_external_baseline	arch_skill_rule_library	LLM-generated rules can be syntactically invalid, over-fitted, semantically divergent with null values, or unsafe under data-flow dependencies; the paper does not provide formal correctness guarantees for rewrite rules.	Results depend on PandasBench representativeness, default unscaled notebook workloads, qualitative manual rule filtering, runtime preconditions, Pandas data-corner cases, and whether reusable rewrite rules generalize beyond Pandas optimization.	RuleFlow avoids per-program LLM calls at deployment by amortizing offline LLM discovery into reusable compiler rules, but it does not report monetary or token costs for discovery.
I083	wu2026llmamem	Scaling Teams or Scaling Time? Memory Enabled Lifelong Learning in LLM Multi-Agent Systems	sim	retrieval_or_memory_noise;memory_growth_or_context_pressure;cost_or_runtime_overhead;evaluation_or_judge_validity;model_or_provider_dependence	yes_no_persistence_or_memory_ablation	arch_shared_memory	The Qwen3-next-80B research setting shows reduced AAS despite higher task score, larger teams can incur coordination overhead and non-monotonic performance, and the study does not directly measure memory redundancy, staleness, or retrieval robustness.	Results depend on MultiAgentBench collaborative tasks, Claude-Sonnet-4.5 evaluation scoring, Amazon Bedrock inference settings, Titan embedding retrieval, chosen consolidation intervals, and whether coding/research/database environments represent broader multi-agent software work.	LLMA-Mem lowers average token usage relative to MARBLE and A-Mem while improving long-horizon performance, showing that gains are not obtained by simply spending more context tokens.
I085	banerjee2026severa	SEVerA: Verified Self-Evolving Agents	sim	memory_growth_or_context_pressure;cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;safety_or_security_risk;verification_or_correctness_failure;human_or_workflow_dependence	yes_nonmemory_external_baseline	arch_self_evolution_archive	Resource usage is not part of the formal constraints; the framework does not account for LLM calls, token budgets, or wall-clock budgets in synthesized agents.	Results depend on formal specification quality, verifier coverage, task selection, chosen LLM backbones, bounded candidate budget, and the representativeness of constrained verification and tau2-bench tasks.	Full SEVerA pipeline takes 18.2 seconds per HumanEvalDafny instance versus 9.8 seconds for an LLM baseline, and 25.6 seconds versus 10.3 seconds on DafnyBench.
I086	fahim2026selfevolve	Software Self-Extension with SelfEvolve: an Agentic Architecture for Runtime Code Generation	sim	memory_growth_or_context_pressure;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence;safety_or_security_risk;verification_or_correctness_failure;human_or_workflow_dependence	yes_nonmemory_external_baseline	arch_skill_rule_library	Evaluation uses only 11 manually designed tasks, one LLM/function-calling stack, and functional-correctness metrics; it does not establish regression guarantees for old functions or broader performance/security/maintainability properties.	Potential test-code collusion because the same LLM generates tests and code, small benchmark size, manually created tasks, OpenAI-specific function-calling interface, and limited evidence for multi-function or long-running deployment settings.	NR
I087	shen2026structurally	Structurally Aligned Subtask-Level Memory for Software Engineering Agents	nao	no_adverse_evidence	yes_no_persistence_or_memory_ablation	arch_experience_bank	Avaliação apenas no SWE-bench Verified; memória reiniciada a cada round experimental (não testa acumulação contínua real); extração de experiências pelo mesmo LLM backbone pode limitar qualidade; top-1 retrieval pode perder experiências relevantes	SWE-bench Verified predominantemente Python; memória reiniciada prejudica avaliação de escalabilidade long-term; 4 modelos testados mas apenas famílias Google e Anthropic; Instance-level Memory é reprodução de ReasoningBank, não implementação original; variância entre runs (σ até 2.27)	NR
I088	bhardwaj2026superlocalmemory	SuperLocalMemory V3.3: The Living Brain -- Biologically-Inspired Forgetting, Cognitive Quantization, and Multi-Channel Retrieval for Zero-LLM Agent Memory Systems	sim	retrieval_or_memory_noise;cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;hardware_or_platform_dependence	no_no_persistence_or_nonmemory_baseline	arch_persistent_workspace_state	Fusion complexity hurts simple/single-hop retrieval, fixed channel weights create cold-start sensitivity, and zero-friction lifecycle hooks are Claude Code-specific.	Single-system authorship, local benchmark design, LoCoMo mode choices, retrieval-channel weights, platform-specific hooks, and comparison to the prior V3.2 system may limit generalization.	Zero-LLM Mode A avoids LLM/API cost and runs on local CPU resources, but the paper does not isolate a comparable monetary-cost baseline.
I090	zhang2026textbfgs	TextBFGS: A Case-Based Reasoning Approach to Code Optimization via Error-Operator Retrieval	sim	retrieval_or_memory_noise;cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;human_or_workflow_dependence	yes_no_persistence_or_memory_ablation	arch_knowledge_graph_case_base	Evaluation focuses on filtered coding-optimization benchmarks and case trajectories from HumanEval/MBPP; generalization to larger repositories and richer optimization objectives is not established.	Filtered hard-task construction, case-base source domain, retrieval embedding design, baseline reimplementation choices, and maximum-iteration limits may affect validity.	Compared with TextGrad-Momentum on HumanEval-Hard, TextBFGS uses about 50.6% fewer tokens per task; the paper also reports lower calls per task than TextGrad/TextGrad-Momentum.
I091	chen2026aiscientist	Toward Autonomous Long-Horizon Engineering for ML Research	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence;human_or_workflow_dependence;hardware_or_platform_dependence	yes_no_persistence_or_memory_ablation	arch_persistent_workspace_state	Evaluation is expensive and constrained to benchmarked ML research engineering tasks; performance depends on specialized agent roles, workspace conventions, and available compute/time budgets.	Benchmark selection, 24-hour task limit, H20 GPU environment, grading model, selected backbones, workspace permissions, and comparison to simplified agents may affect validity.	AiScientist is cheaper than IterAgent in the reported PaperBench setup: $15.67 versus $27.44 per task with Gemini and $12.20 versus $54.90 with GLM-5.
I092	li2026traversalaspolicy	Traversal-as-Policy: Log-Distilled Gated Behavior Trees as Externalized, Verifiable Policies for Safe, Robust, and Efficient Agents	nao	no_adverse_evidence	yes_nonmemory_external_baseline	arch_skill_rule_library	Coverage boundary explícito: fora de coverage (covered=0), GBT só garante primitive-level safety; distillation de logs pode herdar vieses dos trajectórios OpenHands; 21 task families fixas podem não cobrir todos domínios; gates dependem de structured ctx que pode omitir estado relevante	GPT-4o como base model primário; GBT distilado de logs OpenHands pode não transferir para outros frameworks; safety gates determinísticos sobre ctx podem falhar se ctx omitir campos relevantes; avaliação Protocol A (cross-benchmark distillation) pode ter overlap semântico residual; macro abstraction stability testada mas não garantida para todos cenários	Tok/Chars 208k/820k→126k/490k SWE-bench (-39%/-40%); 94k/360k→52k/205k WebArena (-45%/-43%); 8B executors viáveis com same GBT artifact
I093	yan2026slump	When the Specification Emerges: Benchmarking Faithfulness Loss in Long-Horizon Coding Agents	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence;verification_or_correctness_failure;human_or_workflow_dependence;hardware_or_platform_dependence	yes_no_persistence_or_memory_ablation	arch_persistent_workspace_state	ProjectGuard is evaluated as a mitigation case study for emergent specification, not as a complete standalone coding-agent architecture across many software-engineering domains.	Component scoring rubric, paper selection, emergent request scripts, Claude Code/Codex platform behavior, hidden artifact design, and ProjectGuard implementation choices may affect validity.	ProjectGuard adds external state averaging hundreds of KB and changes compaction/restart behavior; no monetary or token-cost comparison is reported.
I094	deng2026memcoder	Your Code Agent Can Grow Alongside You with Structured Memory	nao	no_adverse_evidence	yes_no_persistence_or_memory_ablation	arch_repository_memory	Avaliação apenas no SWE-bench Verified; depende de histórico de commits rico; qualidade da memória limitada pela capacidade do LLM de destilação; overhead de retrieval não quantificado; ablação em subset de 200 instâncias	SWE-bench Verified como único benchmark; DeepSeek-V3.2 e GPT-5.2 como únicos modelos; memória construída de commits do mesmo repositório avaliado (temporal leakage controlada mas residual); cross-encoder reranker pode introduzir latência não reportada	NR
I095	gangireddi2026sare	Self-Adapting Agents for Automating Research Coding Workflows	sim	memory_growth_or_context_pressure;cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence;verification_or_correctness_failure	yes_no_persistence_or_memory_ablation	arch_skill_rule_library	Reflective calls and growing Global Training Context introduce overhead and can approach context-window limits; evaluation is concentrated on research-coding benchmarks and selected baselines.	Benchmark representativeness, train/validation/test split choices, use of ground-truth traces in offline adaptation, single LLM stack, anonymous artifact status, and comparison-baseline implementation choices may affect validity.	Per-task benchmark costs are reported at roughly $1-3, but the paper does not isolate the additional cost of reflection and context growth versus baselines.
