included_id	id	titulo	study_role	architecture_denominator_decision	architecture_status	tipo_arquitetura	controlled_comparison_status	has_baseline_text	quality_score	quality_status	cost_reporting	negative_result	benchmark_markers
I001	shinn2023reflexion	Reflexion: Language Agents with Verbal Reinforcement Learning	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	nao	nao	HumanEval;MBPP
I002	zelikman2024stop	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	architecture	include_architecture	arch_self_evolution_archive	outro	yes_no_persistence_or_memory_ablation	yes	4.5	numeric	nao	sim	NR
I003	zhang2024agilegen	Empowering Agile-Based Generative Software Development through Human-AI Teamwork	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_nonmemory_external_baseline	yes	5.0	numeric	sim_detalhado	nao	NR
I004	li2024falcon	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding OptimizatioN	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	nao	nao	HumanEval;MBPP
I005	qian2024iterative	Iterative Experience Refinement of Software-Developing Agents	architecture	include_architecture	arch_experience_bank	banco_experiencia	no_no_persistence_or_nonmemory_baseline	yes	4.0	numeric	nao	nao	NR
I006	lin2024evocoder	LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	nao	nao	SWE-bench Lite
I007	wu2024sail	Skill-Adpative Imitation Learning for UI Test Reuse	architecture	include_architecture	arch_skill_rule_library	outro	yes_nonmemory_external_baseline	yes	4.5	numeric	nao	nao	NR
I008	robeyns2025sica	A Self-Improving Coding Agent	architecture	include_architecture	arch_self_evolution_archive	outro	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	sim	sim	SWE-bench Verified;LiveCodeBench
I009	zhang2025accelopt	AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	sim_detalhado	nao	NKIBench
I010	tang2025agentkb	Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	sim	sim	SWE-bench Lite
I011	wang2025agentsse	Agents in software engineering: survey, landscape, and vision	contextual_survey	exclude_contextual	contextual_not_applicable	NA	not_applicable_contextual	no	2.5	numeric	nao	nao	NR
I012	kong2025alphaopt	AlphaOPT: Formulating Optimization Programs with Self-Improving LLM Experience Library	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	nao	nao	NR
I013	yu2025satlution	Autonomous Code Evolution Meets NP-Completeness	architecture	include_architecture	arch_self_evolution_archive	outro	no_no_persistence_or_nonmemory_baseline	yes	4.0	numeric	nao	sim	NR
I014	akshathala2025assessment	Beyond Task Completion: An Assessment Framework for Evaluating Agentic AI Systems	contextual_assessment	exclude_contextual	contextual_not_applicable	NA	not_applicable_contextual	yes	4.0	numeric	sim_parcial	sim	NR
I015	jansen2025codedistiller	CodeDistiller: Automatically Generating Code Libraries for Scientific Coding Agents	architecture	include_architecture	arch_skill_rule_library	outro	yes_nonmemory_external_baseline	yes	5.0	numeric	sim	sim	NR
I016	wong2025confucius	Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases	architecture	include_architecture	arch_persistent_workspace_state	hibrido	yes_nonmemory_external_baseline	yes	5.5	numeric	sim_parcial	nao	SWE-bench Verified;SWE-Bench Pro
I017	zhang2025darwingodel	Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents	architecture	include_architecture	arch_self_evolution_archive	outro	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	sim	sim	SWE-bench Verified
I018	lin2025eco	ECO: An LLM-Driven Efficient Code Optimizer for Warehouse Scale Computers	architecture	include_architecture	arch_experience_bank	banco_experiencia	no_no_persistence_or_nonmemory_baseline	yes	4.5	numeric	sim	sim	NR
I019	yuksel2025evolattice	EvoLattice: Persistent Internal-Population Evolution through Multi-Alternative Quality-Diversity Graph Representations for LLM-Guided Program Discovery	architecture	include_architecture	arch_self_evolution_archive	outro	yes_nonmemory_external_baseline	yes	4.5	numeric	nao	sim	NR
I020	ou2025k3trans	Evolving Triple Knowledge-Augmented LLMs for Code Translation in Repository Context	architecture	include_architecture	arch_repository_memory	grafo_conhecimento	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	nao	sim	NR
I021	mu2025experepair	EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	sim	sim	SWE-bench Lite
I022	lindenbauer2025ctimrover	From Knowledge to Noise: CTIM-Rover and the Pitfalls of Episodic Memory in Software Engineering Agents	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	4.0	numeric	nao	sim	SWE-bench Verified
I023	wu2025gcc	Git Context Controller: Manage the Context of LLM-based Agents like Git	architecture	include_architecture	arch_persistent_workspace_state	git_metafora	yes_nonmemory_external_baseline	yes	5.5	numeric	sim_detalhado	nao	SWE-bench Verified;SWE-bench Lite
I024	wang2025huxleygodel	Huxley-Gödel Machine: Human-Level Coding Agent Development by an Approximation of the Optimal Self-Improving Machine	architecture	include_architecture	arch_self_evolution_archive	outro	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	sim	sim	SWE-bench Verified;SWE-bench Lite
I025	wang2025repositorymemory	Improving Code Localization with Repository Memory	architecture	include_architecture	arch_repository_memory	git_metafora	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	sim_parcial	nao	SWE-bench Verified
I026	kernelevolve2025	KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta	architecture	include_architecture	arch_experience_bank	banco_experiencia	no_no_persistence_or_nonmemory_baseline	yes	4.5	numeric	sim	sim	KernelBench
I027	yang2025lingxi	Lingxi: Repository-Level Issue Resolution Framework Enhanced by Procedural Knowledge Guided Scaling	architecture	include_architecture	arch_skill_rule_library	outro	yes_no_persistence_or_memory_ablation	yes	4.5	numeric	nao	nao	SWE-bench Verified
I028	srivastava2025memorygraft	MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retrieval	contextual_security	exclude_contextual	contextual_not_applicable	NA	not_applicable_contextual	yes	4.0	numeric	nao	sim	NR
I029	deshpande2025memtrack	MemTrack: Evaluating Long-Term Memory and State Tracking in Multi-Platform Dynamic Agent Environments	contextual_benchmark	exclude_contextual	contextual_not_applicable	NA	not_applicable_contextual	yes	4.5	numeric	nao	sim	NR
I030	khan2025macog	Multi-Agent Code-Orchestrated Generation for Reliable Infrastructure-as-Code	architecture	include_architecture	arch_skill_rule_library	outro	yes_no_persistence_or_memory_ablation	yes	4.5	numeric	nao	nao	NR
I031	ouyang2025reasoningbank	ReasoningBank: Scaling Agent Self-Evolving with Reasoning Memory	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	nao	nao	SWE-bench Verified;WebArena
I032	guo2025redcodeagent	RedCodeAgent: Automatic Red-teaming Agent against Diverse Code Agents	architecture	include_architecture	arch_security_memory	outro	no_no_persistence_or_nonmemory_baseline	yes	4.5	numeric	nao	nao	NR
I033	wang2025reflectiondriven	Reflection-Driven Control for Trustworthy Code Agents	architecture	include_architecture	arch_security_memory	outro	yes_no_persistence_or_memory_ablation	yes	4.5	numeric	sim_detalhado	sim	NR
I034	anderson2025selfdefining	Self-Defining Systems	boundary_case_study	exclude_contextual	boundary_not_final_architecture	NA	not_applicable_contextual	yes	3.0	numeric	sim_parcial	sim	NR
I035	tablan2025smarter	Smarter Together: Creating Agentic Communities of Practice through Shared Experiential Learning	architecture	include_architecture	arch_shared_memory	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	nao	nao	DS-1000
I036	joshi2025swebenchcl	SWE-Bench-CL: Continual Learning for Coding Agents	contextual_benchmark	exclude_contextual	contextual_not_applicable	NA	not_applicable_contextual	yes	5.0	numeric	nao	sim	SWE-Bench-CL
I037	chen2025sweexp	SWE-Exp: Experience-Driven Software Issue Resolution	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_nonmemory_external_baseline	yes	6.0	numeric	sim_detalhado	sim	SWE-bench Verified
I038	feng2025tai3	TAI3: Testing Agent Integrity in Interpreting User Intent	architecture	include_architecture	arch_skill_rule_library	outro	yes_nonmemory_external_baseline	yes	4.5	numeric	nao	nao	NR
I039	shen2025talm	TALM: Dynamic Tree-Structured Multi-Agent Framework with Long-Term Memory for Scalable Code Generation	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_nonmemory_external_baseline	yes	4.5	numeric	sim_parcial	sim	HumanEval;BigCodeBench
I040	zhou2025tomswe	TOM-SWE: User Mental Modeling For Software Engineering Agents	architecture	include_architecture	arch_user_model_memory	hibrido	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	sim_detalhado	sim	NR
I041	cao2025hxagent	Toward Generation of Test Cases from Task Descriptions via History-aware Planning	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	sim_parcial	sim	NR
I042	hosain2025xolver	Xolver: Multi-Agent Reasoning with Holistic Experience Learning Just Like an Olympiad Team	architecture	include_architecture	arch_experience_bank	hibrido	yes_nonmemory_external_baseline	yes	5.5	numeric	sim_parcial	nao	LiveCodeBench;MATH
I043	du2026adaexplore	AdaExplore: Failure-Driven Adaptation and Diversity-Preserving Search for Efficient Kernel Generation	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	nao	sim	KernelBench
I044	zhang2026agentdevel	AgentDevel: Reframing Self-Evolving LLM Agents as Release Engineering	architecture	include_architecture	arch_self_evolution_archive	outro	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	sim_parcial	sim	SWE-bench Verified;SWE-bench Lite;WebArena
I045	tan2026agentga	AgentGA: Evolving Code Solutions in Agent-Seed Space	architecture	include_architecture	arch_self_evolution_archive	outro	yes_no_persistence_or_memory_ablation	yes	4.5	numeric	sim_parcial	sim	NR
I046	banerjee2026apexem	APEX-EM: Non-Parametric Online Learning for Autonomous Agents via Structured Procedural-Episodic Experience Replay	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	4.0	numeric	sim_parcial	sim	BigCodeBench
I047	xiang2026beam	BEAM: Bi-level Memory-adaptive Algorithmic Evolution for LLM-Powered Heuristic Design	architecture	include_architecture	arch_skill_rule_library	outro	yes_no_persistence_or_memory_ablation	yes	4.5	numeric	sim_parcial	sim	NR
I048	bai2026patchadvisor	Beyond Crash-to-Patch: Patch Evolution for Linux Kernel Repair	architecture	include_architecture	arch_repository_memory	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	4.5	numeric	nao	sim	NR
I049	he2026coredteam	Co-RedTeam: Orchestrated Security Discovery and Exploitation with LLM Agents	architecture	include_architecture	arch_security_memory	outro	yes_no_persistence_or_memory_ablation	yes	4.5	numeric	sim_parcial	nao	CyberGym
I050	vogel2026codebasememory	Codebase-Memory: Tree-Sitter-Based Knowledge Graphs for LLM Code Exploration via MCP	architecture	include_architecture	arch_knowledge_graph_case_base	grafo_conhecimento	yes_nonmemory_external_baseline	yes	5.0	numeric	sim_parcial	sim	NR
I051	zhang2026coevoskills	CoEvoSkills: Self-Evolving Agent Skills via Co-Evolutionary Verification	architecture	include_architecture	arch_skill_rule_library	outro	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	sim_parcial	sim	NR
I052	muhtar2026complementaryrl	Complementary Reinforcement Learning	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	sim_parcial	sim	SWE-bench Verified
I053	hu2026cse	Controlled Self-Evolution for Algorithmic Code Optimization	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	nao	sim	NR
I054	qu2026coral	CORAL: Towards Autonomous Multi-Agent Evolution for Open-Ended Discovery	architecture	include_architecture	arch_shared_memory	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	sim_detalhado	sim	NR
I055	jiang2026darwin	DARWIN: Dynamic Agentically Rewriting Self-Improving Network	architecture	include_architecture	arch_self_evolution_archive	outro	yes_no_persistence_or_memory_ablation	yes	3.5	numeric	sim_parcial	sim	NR
I056	shen2026decocted	Decocted Experience Improves Test-Time Inference in LLM Agents	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	sim_parcial	sim	SWE-bench Verified;MATH
I057	zhang2026docksmith	DockSmith: Scaling Reliable Coding Environments via an Agentic Docker Builder	architecture	include_architecture	arch_experience_bank	banco_experiencia	no_no_persistence_or_nonmemory_baseline	yes	5.5	numeric	sim_parcial	sim	SWE-bench Verified;Terminal-Bench
I058	wang2026domagent	DomAgent: Leveraging Knowledge Graphs and Case-Based Reasoning for Domain-Specific Code Generation	architecture	include_architecture	arch_knowledge_graph_case_base	grafo_conhecimento	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	nao	sim	DS-1000
I059	guo2026eet	EET: Experience-Driven Early Termination for Cost-Efficient Software Engineering Agents	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	sim_detalhado	nao	SWE-bench Verified;SWE-bench Lite
I060	wang2026effiskill	EffiSkill: Agent Skill Based Automated Code Efficiency Optimization	architecture	include_architecture	arch_skill_rule_library	outro	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	sim_parcial	sim	NR
I061	ma2026failuremem	FailureMem: A Failure-Aware Multimodal Framework for Autonomous Software Repair	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	sim_detalhado	sim	NR
I062	weng2026groupevolving	Group-Evolving Agents: Open-Ended Self-Improvement via Experience Sharing	architecture	include_architecture	arch_self_evolution_archive	outro	no_no_persistence_or_nonmemory_baseline	yes	4.5	numeric	sim_detalhado	sim	SWE-bench Verified
I063	nadafian2026kapso	KAPSO: A Knowledge-grounded framework for Autonomous Program Synthesis and Optimization	architecture	include_architecture	arch_experience_bank	hibrido	yes_nonmemory_external_baseline	yes	5.5	numeric	sim_parcial	nao	MLE-Bench;ALE-Bench
I064	dong2026kernelblaster	KernelBlaster: Continual Cross-Task CUDA Optimization via Memory-Augmented In-Context Reinforcement Learning	architecture	include_architecture	arch_structured_knowledge_base	grafo_conhecimento	yes_no_persistence_or_memory_ablation	yes	4.5	numeric	sim_parcial	nao	KernelBench
I065	sun2026kernelskill	KernelSkill: A Multi-Agent Framework for GPU Kernel Optimization	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_nonmemory_external_baseline	yes	5.0	numeric	sim_parcial	sim	KernelBench
I066	zhao2026phyloevolve	Large Language Model-Powered Evolutionary Code Optimization on a Phylogenetic Tree	architecture	include_architecture	arch_self_evolution_archive	outro	no_no_persistence_or_nonmemory_baseline	yes	5.0	numeric	sim_parcial	sim	NR
I067	fu2026latentmem	LatentMem: Customizing Latent Memory for Multi-Agent Systems	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	sim_detalhado	sim	BigCodeBench
I068	li2026learningcommit	Learning to Commit: Generating Organic Pull Requests via Online Repository Memory	architecture	include_architecture	arch_repository_memory	git_metafora	yes_no_persistence_or_memory_ablation	yes	3.5	numeric	sim_parcial	sim	NR
I069	li2026memcoder	MEMCoder: Multi-dimensional Evolving Memory for Private-Library-Oriented Code Generation	architecture	include_architecture	arch_repository_memory	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	4.5	numeric	sim_detalhado	sim	NR
I070	chang2026memcollab	MemCollab: Cross-Agent Memory Collaboration via Contrastive Trajectory Distillation	architecture	include_architecture	arch_shared_memory	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	4.5	numeric	sim_parcial	sim	HumanEval;MBPP
I071	wang2026memgovern	MemGovern: Enhancing Code Agents through Learning from Governed Human Experiences	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	sim_detalhado	nao	SWE-bench Verified
I072	du2026memory	Memory for Autonomous LLM Agents: Mechanisms, Evaluation, and Emerging Frontiers	contextual_survey	exclude_contextual	contextual_not_applicable	NA	not_applicable_contextual	no	2.5	numeric	NA	NA	LoCoMo
I073	kim2026memorytransfer	Memory Transfer Learning: How Memories are Transferred Across Domains in Coding Agents	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	nao	sim	SWE-bench Verified;LiveCodeBench;Terminal-Bench
I074	feng2026odel	ODEL: An Experience-Augmented Self-Evolving Framework for Efficient Python-to-C++ Code Translation	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	sim_parcial	sim	HumanEval
I075	lulla2026agentsmd	On the Impact of AGENTS.md Files on the Efficiency of AI Coding Agents	contextual_human_artifact	exclude_contextual	contextual_not_applicable	NA	not_applicable_contextual	yes	4.0	numeric	sim_detalhado	nao	NR
I076	jiang2026opengame	OpenGame: Open Agentic Coding for Games	architecture	include_architecture	arch_skill_rule_library	outro	yes_nonmemory_external_baseline	yes	5.0	numeric	nao	sim	NR
I077	li2026opensage	OpenSage: Self-programming Agent Generation Engine	architecture	include_architecture	arch_knowledge_graph_case_base	grafo_conhecimento	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	sim_parcial	sim	SWE-Bench Pro;Terminal-Bench;CyberGym;DevOps-Gym;LoCoMo
I078	li2026ocrd	Outcome-Conditioned Reasoning Distillation for Resolving Software Issues	architecture	include_architecture	arch_skill_rule_library	banco_experiencia	yes_nonmemory_external_baseline	yes	5.0	numeric	sim_detalhado	sim	SWE-bench Lite
I079	wu2026reasoningmemory	Procedural Knowledge at Scale Improves Reasoning	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	sim_parcial	sim	LiveCodeBench
I080	hao2026recreate	ReCreate: Reasoning and Creating Domain Agents Driven by Experience	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_nonmemory_external_baseline	yes	5.5	numeric	sim_parcial	sim	SWE-bench Verified;AppWorld;DS-1000;MATH
I081	gangireddi2026revere	REVERE: Reflective Evolving Research Engineer for Scientific Workflows	architecture	include_architecture	arch_skill_rule_library	outro	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	sim_detalhado	sim	ResearchCodeBench;ScienceAgentBench;SUPER
I082	singh2026ruleflow	RuleFlow: Generating Reusable Program Optimizations with LLMs	architecture	include_architecture	arch_skill_rule_library	outro	yes_nonmemory_external_baseline	yes	5.0	numeric	sim_parcial	sim	NR
I083	wu2026llmamem	Scaling Teams or Scaling Time? Memory Enabled Lifelong Learning in LLM Multi-Agent Systems	architecture	include_architecture	arch_shared_memory	hibrido	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	sim_detalhado	sim	NR
I084	yuan2026sebench	SE-Bench: Benchmarking Self-Evolution with Knowledge Internalization	contextual_benchmark	exclude_contextual	contextual_not_applicable	NA	not_applicable_contextual	yes	4.5	numeric	nao	sim	NR
I085	banerjee2026severa	SEVerA: Verified Self-Evolving Agents	architecture	include_architecture	arch_self_evolution_archive	outro	yes_nonmemory_external_baseline	yes	5.5	numeric	sim_parcial	sim	HumanEval;DafnyBench;HumanEvalDafny;tau2-bench
I086	fahim2026selfevolve	Software Self-Extension with SelfEvolve: an Agentic Architecture for Runtime Code Generation	architecture	include_architecture	arch_skill_rule_library	outro	yes_nonmemory_external_baseline	yes	4.0	numeric	nao	sim	NR
I087	shen2026structurally	Structurally Aligned Subtask-Level Memory for Software Engineering Agents	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	nao	nao	SWE-bench Verified
I088	bhardwaj2026superlocalmemory	SuperLocalMemory V3.3: The Living Brain -- Biologically-Inspired Forgetting, Cognitive Quantization, and Multi-Channel Retrieval for Zero-LLM Agent Memory Systems	architecture	include_architecture	arch_persistent_workspace_state	hibrido	no_no_persistence_or_nonmemory_baseline	yes	4.5	numeric	sim_parcial	sim	LoCoMo
I089	zhu2026swecontextbench	SWE Context Bench: A Benchmark for Context Learning in Coding	contextual_benchmark	exclude_contextual	contextual_not_applicable	NA	not_applicable_contextual	yes	4.5	numeric	sim_detalhado	sim	NR
I090	zhang2026textbfgs	TextBFGS: A Case-Based Reasoning Approach to Code Optimization via Error-Operator Retrieval	architecture	include_architecture	arch_knowledge_graph_case_base	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	sim_detalhado	sim	HumanEval;MBPP
I091	chen2026aiscientist	Toward Autonomous Long-Horizon Engineering for ML Research	architecture	include_architecture	arch_persistent_workspace_state	hibrido	yes_no_persistence_or_memory_ablation	yes	4.5	numeric	sim_detalhado	sim	MLE-Bench;PaperBench
I092	li2026traversalaspolicy	Traversal-as-Policy: Log-Distilled Gated Behavior Trees as Externalized, Verifiable Policies for Safe, Robust, and Efficient Agents	architecture	include_architecture	arch_skill_rule_library	outro	yes_nonmemory_external_baseline	yes	5.5	numeric	sim_parcial	nao	SWE-bench Verified;WebArena
I093	yan2026slump	When the Specification Emerges: Benchmarking Faithfulness Loss in Long-Horizon Coding Agents	architecture	include_architecture	arch_persistent_workspace_state	hibrido	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	sim_parcial	sim	NR
I094	deng2026memcoder	Your Code Agent Can Grow Alongside You with Structured Memory	architecture	include_architecture	arch_repository_memory	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	4.5	numeric	nao	nao	SWE-bench Verified
I095	gangireddi2026sare	Self-Adapting Agents for Automating Research Coding Workflows	architecture	include_architecture	arch_skill_rule_library	outro	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	sim_detalhado	sim	ResearchCodeBench;ScienceAgentBench;SUPER
