included_id	full_text_id	screening_id	title	study_role	architecture_status	controlled_comparison_status	classification_status	classification_reason
I001	FT0001	TA00310	Reflexion: Language Agents with Verbal Reinforcement Learning	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	semantic episodic experience summaries stored/reused across HumanEval trials
I002	FT0082	TA00712	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	improved code-generation improver is preserved across self-improvement iterations
I003	FT0088	TA01157	Empowering Agile-Based Generative Software Development through Human-AI Teamwork	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	self-updating memory pool of prior user decision scenarios
I004	FT0003	TA00466	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding Optimization system	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	long/short-term memory buffers for coding optimization
I005	FT0002	TA00018	Iterative Experience Refinement of Software-Developing Agents	architecture	arch_experience_bank	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; experience refinement across software-development batches
I006	FT0005	TA01356	LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	common and repository-specific experience pools for issue reproduction
I007	FT0004	TA00540	Skill-Adpative Imitation Learning for UI Test Reuse	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	archived UI-testing skills reused for target-app test generation
I008	FT0095	TA00284	A Self-Improving Coding Agent	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	archive of previous agents and benchmark results guides self-modification
I009	FT0025	TA00450	AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	architecture	arch_experience_bank	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; optimization memory from slow-fast kernel pairs
I010	FT0030	TA00588	Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	shared cross-framework distilled trajectory experience units
I011	FT0100	TA00330	Agents in software engineering: survey, landscape, and vision	contextual_survey	contextual_not_applicable	not_applicable_contextual	classified_from_full_text_rationale	analytical SE-agent survey with perception-memory-action taxonomy
I012	FT0114	TA00960	AlphaOPT: Formulating Optimization Programs with Self-Improving LLM Experience Library	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	self-improving solver-verified experience library
I013	FT0096	TA00287	Autonomous Code Evolution Meets NP-Completeness	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	persists evolved solver repositories and self-evolving rules/policies
I014	FT0102	TA00389	Beyond Task Completion: An Assessment Framework for Evaluating Agentic AI Systems	contextual_assessment	contextual_not_applicable	not_applicable_contextual	classified_from_full_text_rationale	assessment framework with memory metrics, not a persistence architecture itself
I015	FT0013	TA00148	CodeDistiller: Automatically Generating Code Libraries for Scientific Coding Agents	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	vetted reusable code-example library for scientific coding agents
I016	FT0016	TA00156	Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases	architecture	arch_persistent_workspace_state	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; persistent notes and long-term memory across sessions
I017	FT0089	TA00075	Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	archive and lineage of generated coding agents
I018	FT0032	TA01147	ECO: An LLM-Driven Efficient Code Optimizer for Warehouse Scale Computers	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	historical performance-optimizing commits mined into reusable optimization knowledge
I019	FT0033	TA01175	EvoLattice: Persistent Internal-Population Evolution through Multi-Alternative Quality-Diversity Graph Representations for LLM-Guided Program Discovery	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	persistent quality-diversity graph of reusable program components/evidence
I020	FT0031	TA00677	Evolving Triple Knowledge-Augmented LLMs for Code Translation in Repository Context	architecture	arch_repository_memory	pending_extraction	classified_from_full_text_rationale	evolving translation knowledge base from codebase context and prior translations
I021	FT0028	TA00473	EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	episodic and semantic repair memories from historical repair experiences
I022	FT0006	TA00077	From Knowledge to Noise: CTIM-Rover and the Pitfalls of Episodic Memory in Software Engineering Agents	architecture	arch_experience_bank	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; cross-task episodic SWE-bench memory with negative results
I023	FT0021	TA00361	Git Context Controller: Manage the Context of LLM-based Agents like Git	architecture	arch_persistent_workspace_state	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; version-controlled persistent memory workspace
I024	FT0098	TA00292	Huxley-Gödel Machine: Human-Level Coding Agent Development by an Approximation of the Optimal Self-Improving Machine	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	tree/archive of self-modified coding agents and evaluations
I025	FT0023	TA00371	Improving Code Localization with Repository Memory	architecture	arch_repository_memory	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; historical commits/issues/function summaries as repository memory
I026	FT0075	TA01303	KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	persistent knowledge base and metadata store for kernel coding
I027	FT0034	TA01346	Lingxi: Repository-Level Issue Resolution Framework Enhanced by Procedural Knowledge Guided Scaling	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	procedural knowledge extracted from historical issue fixes
I028	FT0026	TA00452	MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retrieval	contextual_security	contextual_not_applicable	not_applicable_contextual	classified_from_prior_prefill_recheck_required	prior exact-title match; attack/effect study of poisoned long-term memories
I029	FT0029	TA00477	MEMTRACK: Evaluating Long-Term Memory and State Tracking in Multi-Platform Dynamic Agent Environments	contextual_benchmark	contextual_not_applicable	not_applicable_contextual	classified_from_prior_prefill_recheck_required	prior exact-title match; long-term memory/state-tracking benchmark
I030	FT0092	TA00119	Multi-Agent Code-Orchestrated Generation for Reliable Infrastructure-as-Code	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	Memory Curator stores verified IaC tuples and typed motifs
I031	FT0022	TA00370	ReasoningBank: Scaling Agent Self-Evolving with Reasoning Memory	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	reasoning strategies distilled from successful/failed experiences
I032	FT0091	TA00117	RedCodeAgent: Automatic Red-teaming Agent against Diverse Code Agents	architecture	arch_security_memory	pending_extraction	classified_from_full_text_rationale	adaptive memory of successful red-team trajectories against code agents
I033	FT0017	TA00162	Reflection-Driven Control for Trustworthy Code Agents	architecture	arch_security_memory	pending_extraction	classified_from_full_text_rationale	reflective memory repository for security-oriented code generation
I034	FT0080	TA01629	Self-Defining Systems	boundary_case_study	boundary_not_final_architecture	not_applicable_contextual	classified_from_full_text_rationale	SDS white-paper case study with reusable agent-authored deployment playbook
I035	FT0012	TA00142	Smarter Together: Creating Agentic Communities of Practice through Shared Experiential Learning	architecture	arch_shared_memory	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; shared experiential memory for coding agents
I036	FT0007	TA00084	SWE-Bench-CL: Continual Learning for Coding Agents	contextual_benchmark	contextual_not_applicable	not_applicable_contextual	classified_from_prior_prefill_recheck_required	prior exact-title match; continual-learning benchmark for coding agents
I037	FT0009	TA00096	SWE-Exp: Experience-Driven Software Issue Resolution	architecture	arch_experience_bank	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; evolving issue-resolution experience bank
I038	FT0020	TA00355	TAI3: Testing Agent Integrity in Interpreting User Intent	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	datatype-aware strategy memory of successful mutation patterns
I039	FT0011	TA00129	TALM: Dynamic Tree-Structured Multi-Agent Framework with Long-Term Memory for Scalable Code Generation	architecture	arch_experience_bank	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; long-term problem-solving experience memory
I040	FT0010	TA00127	TOM-SWE: User Mental Modeling For Software Engineering Agents	architecture	arch_user_model_memory	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; persistent user mental-state memory
I041	FT0019	TA00346	Toward Generation of Test Cases from Task Descriptions via History-aware Planning	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	long-term experience from correct/incorrect web-test actions
I042	FT0024	TA00449	Xolver: Multi-Agent Reasoning with Holistic Experience Learning Just Like an Olympiad Team	architecture	arch_experience_bank	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; holistic experience memory/shared memory
I043	FT0053	TA00430	AdaExplore: Failure-Driven Adaptation and Diversity-Preserving Search for Efficient Kernel Generation	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	failure-derived cross-task memory of validity rules
I044	FT0135	TA00395	AgentDevel: Reframing Self-Evolving LLM Agents as Release Engineering	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	release-engineering pipeline persists traces, candidates, versions, regression gates
I045	FT0060	TA00917	AgentGA: Evolving Code Solutions in Agent-Seed Space	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	parent archives inherited across code-generation generations
I046	FT0142	TA00484	APEX-EM: Non-Parametric Online Learning for Autonomous Agents via Structured Procedural-Episodic Experience Replay	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	procedural-episodic experience replay and procedural knowledge graph
I047	FT0148	TA00703	BEAM: Bi-level Memory-adaptive Algorithmic Evolution for LLM-Powered Heuristic Design	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	adaptive memory of reusable generated function components
I048	FT0046	TA00246	Beyond Crash-to-Patch: Patch Evolution for Linux Kernel Repair	architecture	arch_repository_memory	pending_extraction	classified_from_full_text_rationale	layered retrieval memory from historical Linux patch evolution
I049	FT0061	TA01041	Co-RedTeam: Orchestrated Security Discovery and Exploitation with LLM Agents	architecture	arch_security_memory	pending_extraction	classified_from_full_text_rationale	layered long-term vulnerability/attack/action memories
I050	FT0045	TA00236	Codebase-Memory: Tree-Sitter-Based Knowledge Graphs for LLM Code Exploration via MCP	architecture	arch_knowledge_graph_case_base	pending_extraction	classified_from_full_text_rationale	persistent Tree-Sitter codebase knowledge graph
I051	FT0062	TA01060	CoEvoSkills: Self-Evolving Agent Skills via Co-Evolutionary Verification	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	persistent multi-file skill packages for coding agents
I052	FT0153	TA01075	Complementary Reinforcement Learning	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	MemoryManager and evolving experience bank
I053	FT0149	TA00744	Controlled Self-Evolution for Algorithmic Code Optimization	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	hierarchical evolution memory with global experience templates
I054	FT0063	TA01090	CORAL: Towards Autonomous Multi-Agent Evolution for Open-Ended Discovery	architecture	arch_shared_memory	pending_extraction	classified_from_full_text_rationale	shared persistent notes/skills across asynchronous agents
I055	FT0064	TA01109	DARWIN: Dynamic Agentically Rewriting Self-Improving Network	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	persistent JSON memories across training-code self-improvement generations
I056	FT0140	TA00422	Decocted Experience Improves Test-Time Inference in LLM Agents	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	raw/distilled/consolidated/concept-tree experience memory
I057	FT0125	TA00187	DockSmith: Scaling Reliable Coding Environments via an Agentic Docker Builder	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	global cross-task success memory pool for Docker environments
I058	FT0128	TA00230	DomAgent: Leveraging Knowledge Graphs and Case-Based Reasoning for Domain-Specific Code Generation	architecture	arch_knowledge_graph_case_base	pending_extraction	classified_from_full_text_rationale	knowledge graph retrieval and case-based reasoning over stored code cases
I059	FT0035	TA00171	EET: Experience-Driven Early Termination for Cost-Efficient Software Engineering Agents	architecture	arch_experience_bank	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; issue-resolution experience base for early termination
I060	FT0065	TA01154	EffiSkill: Agent Skill Based Automated Code Efficiency Optimization	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	portable library of reusable code optimization skills
I061	FT0055	TA00483	FailureMem: A Failure-Aware Multimodal Framework for Autonomous Software Repair	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	hierarchical failure memory bank for repair trajectories
I062	FT0058	TA00632	Group-Evolving Agents: Open-Ended Self-Improvement via Experience Sharing	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	archive and shared evolutionary traces across coding agents
I063	FT0124	TA00184	KAPSO: A Knowledge-grounded framework for Autonomous Program Synthesis and Optimization	architecture	arch_experience_bank	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; cognitive memory from experiment traces
I064	FT0038	TA00200	KernelBlaster: Continual Cross-Task CUDA Optimization via Memory-Augmented In-Context Reinforcement Learning	architecture	arch_structured_knowledge_base	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; persistent CUDA optimization knowledge base
I065	FT0059	TA00760	KernelSkill: A Multi-Agent Framework for GPU Kernel Optimization	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	two-level long-term knowledge and short-term trajectory memory
I066	FT0137	TA00401	Large Language Model-Powered Evolutionary Code Optimization on a Phylogenetic Tree	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	persistent phylogenetic trees and elite pool for code optimization
I067	FT0154	TA01331	LatentMem: Customizing Latent Memory for Multi-Agent Systems	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	experience bank plus memory composer for multi-agent tasks
I068	FT0044	TA00235	Learning to Commit: Generating Organic Pull Requests via Online Repository Memory	architecture	arch_repository_memory	pending_extraction	classified_from_full_text_rationale	online repository memory from chronological historical commits
I069	FT0056	TA00486	MEMCoder: Multi-dimensional Evolving Memory for Private-Library-Oriented Code Generation	architecture	arch_repository_memory	pending_extraction	classified_from_full_text_rationale	task-level and API-level evolving memory for private libraries
I070	FT0139	TA00417	MemCollab: Cross-Agent Memory Collaboration via Contrastive Trajectory Distillation	architecture	arch_shared_memory	pending_extraction	classified_from_full_text_rationale	shared cross-agent memory distilled from contrasted trajectories
I071	FT0036	TA00173	MemGovern: Enhancing Code Agents through Learning from Governed Human Experiences	architecture	arch_experience_bank	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; governed experience cards for code agents
I072	FT0043	TA00218	Memory for Autonomous LLM Agents:Mechanisms, Evaluation, and Emerging Frontiers	contextual_survey	contextual_not_applicable	not_applicable_contextual	classified_from_prior_prefill_recheck_required	prior exact-title match; analytical autonomous-agent memory survey
I073	FT0048	TA00266	Memory Transfer Learning: How Memories are Transferred Across Domains in Coding Agents	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	unified memory pools for cross-domain coding transfer
I074	FT0077	TA00824	ODEL: An Experience-Augmented Self-Evolving Framework for Efficient Python-to-C++ Code Translation	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	structured experience records for Python-to-C++ translation
I075	FT0158	TA01465	On the Impact of AGENTS.md Files on the Efficiency of AI Coding Agents	contextual_human_artifact	contextual_not_applicable	not_applicable_contextual	classified_from_full_text_rationale	empirical study of human-authored AGENTS.md persistence artifacts
I076	FT0049	TA00274	OpenGame: Open Agentic Coding for Games	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	evolving template and debug skills for web-game coding
I077	FT0039	TA00202	OpenSage: Self-programming Agent Generation Engine	architecture	arch_knowledge_graph_case_base	pending_extraction	classified_from_full_text_rationale	graph-based long-term memory managed by memory agent
I078	FT0066	TA01485	Outcome-Conditioned Reasoning Distillation for Resolving Software Issues	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	procedural guidance distilled from historical resolved issues and patches
I079	FT0143	TA00485	Procedural Knowledge at Scale Improves Reasoning	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	external procedural-knowledge datastore from prior trajectories
I080	FT0159	TA01555	ReCreate: Reasoning and Creating Domain Agents Driven by Experience	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	experience-driven trajectories, scaffold updates, tools, and static memory
I081	FT0067	TA01586	REVERE: Reflective Evolving Research Engineer for Scientific Workflows	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	persistent cheatsheet/global training context for research-coding tasks
I082	FT0068	TA01594	RuleFlow : Generating Reusable Program Optimizations with LLMs	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	generalized reusable rewrite rules accumulated over time
I083	FT0069	TA01607	Scaling Teams or Scaling Time? Memory Enabled Lifelong Learning in LLM Multi-Agent Systems	architecture	arch_shared_memory	pending_extraction	classified_from_full_text_rationale	lifelong procedural memory for multi-agent systems
I084	FT0160	TA01615	SE-Bench: Benchmarking Self-Evolution with Knowledge Internalization	contextual_benchmark	contextual_not_applicable	not_applicable_contextual	classified_from_full_text_rationale	benchmark/empirical analysis for self-evolution and knowledge internalization
I085	FT0133	TA00303	SEVerA: Verified Synthesis of Self-Evolving Agents	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	verified candidate programs and reusable traces/diagnostics
I086	FT0132	TA00297	Software Self-Extension with SelfEvolve: an Agentic Architecture for Runtime Code Generation	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	persistent knowledge base/functions repository/tool descriptors
I087	FT0040	TA00207	Structurally Aligned Subtask-Level Memory for Software Engineering Agents	architecture	arch_experience_bank	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; subtask-level reusable SWE-agent memory
I088	FT0047	TA00247	SuperLocalMemory V3.3: The Living Brain -- Biologically-Inspired Forgetting, Cognitive Quantization, and Multi-Channel Retrieval for Zero-LLM Agent Memory Systems	architecture	arch_persistent_workspace_state	pending_extraction	classified_from_full_text_rationale	cross-session local memory system with code graph and lifecycle hooks
I089	FT0037	TA00195	SWE Context Bench: A Benchmark for Context Learning in Coding	contextual_benchmark	contextual_not_applicable	not_applicable_contextual	classified_from_full_text_rationale	benchmark for accumulating/retrieving/reusing coding context
I090	FT0054	TA00478	TextBFGS: A Case-Based Reasoning Approach to Code Optimization via Error-Operator Retrieval	architecture	arch_knowledge_graph_case_base	pending_extraction	classified_from_full_text_rationale	dynamic case base of error-to-operator correction trajectories
I091	FT0070	TA01747	Toward Autonomous Long-Horizon Engineering for ML Research	architecture	arch_persistent_workspace_state	pending_extraction	classified_from_full_text_rationale	durable File-as-Bus workspace state across long-horizon ML engineering
I092	FT0051	TA00405	Traversal-as-Policy: Log-Distilled Gated Behavior Trees as Externalized, Verifiable Policies for Safe, Robust, and Efficient Agents	architecture	arch_skill_rule_library	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; executable Gated Behavior Tree policy memory
I093	FT0165	TA01818	When the Specification Emerges: Benchmarking Faithfulness Loss in Long-Horizon Coding Agents	architecture	arch_persistent_workspace_state	pending_extraction	classified_from_full_text_rationale	ProjectGuard external project-state layer for semantic commitments/state
I094	FT0041	TA00208	Your Code Agent Can Grow Alongside You with Structured Memory	architecture	arch_repository_memory	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; structured memory from historical human coding experience
I095	FT0079	TA01595	S ELF -A DAPTING A GENTS FOR A UTOMATING R ESEARCH C ODING W ORKFLOWS	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	persistent global training context and cumulative cheatsheet for research coding
