id	authors	year	title	venue	venue_type	architecture_type	temporal_scope	representational_substrate	control_policy	storage_format	retrieval_method	memory_granularity	cross_agent_sharing	agent_framework	llm_used	autonomy_level	open_source	evaluation_method	benchmarks_used	performance_metrics	continual_learning_metrics	baseline_compared	input_tokens_per_task	output_tokens_per_task	memory_size_over_time	cost_per_task	token_reduction	reports_cost_data	main_result	performance_vs_baseline	cost_vs_baseline	negative_result	quality_score	limitations	validity_threats	gap_relevance
bui2026opendev	Nghi D. Q. Bui	2026	Building Effective AI Coding Agents for the Terminal: Scaffolding, Harness, Context Engineering, and Lessons Learned	arXiv preprint (2603.05344)	preprint	text_notes	hybrid	text_context	llm_self_control	ACE Playbook (bullets of learned strategies, scored by effectiveness + recency + semantic scoring, selected for injection into the system prompt) + Session Storage (full JSON transcripts with metadata, persisted per session for continuation) + Snapshot Manager (tracking of file operations via git for per-step undo).	hybrid	task	no	custom (OpenDev)	Model-agnostic (supports Anthropic, OpenAI, Google, Alibaba, etc. via per-workflow model binding with 5 model roles: action, thinking, critique, vision, compact)	interactive	yes	case_study	NR (mentions Terminal-Bench and LongCLI-Bench but does not formally evaluate)	NR	NR	NR (qualitatively compares with Claude Code, Goose, OpenCode, Crush, Aider, SWE-Agent, OpenHands)	NR	NR	Playbook grows with learnings; context compaction in 5 progressive stages (70%→99% utilization); prompt caching reduces input token cost by ~88%	NR	~88% input token reduction via prompt caching (Anthropic); context compaction in 5 stages (warning→masking→pruning→aggressive masking→full LLM summarization)	no	Technical report describing OpenDev, an open-source terminal-native agent in Rust with the ACE memory system (Playbook + Sessions), adaptive context compaction in 5 stages, 5 defense-in-depth security layers, and a multi-model architecture with per-workflow binding. No formal empirical evaluation.	NR	NR	no	2.0	No empirical evaluation on benchmarks; no quantitative comparison with other agents; the paper is a descriptive technical report; effectiveness of the ACE memory system not experimentally validated; single author	Lack of empirical evaluation makes claims unverifiable; comparisons with proprietary systems (Claude Code) based on external observation; design decisions justified by development experience but without ablations; generalization to different workflows untested	gap3_complexity
chen2025sweexp	Silin Chen, Shaoxin Lin, Yuling Shi, Heng Lian, Xiaodong Gu, Longfei Yun, Dong Chen, Lin Cao, Jiyang Liu, Nu Xia, Qianxiang Wang	2025	SWE-Exp: Experience-Driven Software Issue Resolution	arXiv preprint (2507.23361)	preprint	experience_bank	hybrid	structured	llm_self_control	Multi-facet Experience Bank in a vector database (Multilingual-E5-Large embeddings): each experience is a dictionary with issue_type (descriptive label, e.g. VariableReferenceError), description (conditions and scenarios), and perspective or modification (abstract insights). Comprehension experiences guide diagnosis (problem perspective); modification experiences guide safe code editing (repair strategies). Offline extraction via the Experiencer agent from successful and failed trajectories.	hybrid	task	yes	custom (extends SWE-Search with MCTS)	Claude 4 Sonnet (20250514), DeepSeek-V3-0324	autonomous	yes	benchmark	SWE-Bench Verified (500)	Pass@1 (%), Average Token Costs, Average API Costs ($), Average Wall Time	NR	Agentless, SWE-Agent, SWE-Search, OpenHands, EvoCoder, SAGE	203.3K avg tokens (SWE-Exp with DeepSeek-V3-0324)	NR	Fixed after offline construction of the experience bank; gain saturation at ~300 experiences (Figure 4b); performance plateaus with 1-2pp variation beyond that point	$0.13 avg per issue (DeepSeek-V3-0324)	NR (light overhead: 203.3K vs 189.1K tokens, +7.5%)	yes_detailed	SWE-Exp achieves 73.0% Pass@1 with Claude 4 Sonnet and 42.0% with DeepSeek-V3-0324 on SWE-bench Verified, surpassing all baselines. Comprehension and modification experiences contribute independently (+3.2% and +2.6%); experience extraction is the most critical component (-6.0% without it).	+2.2pp vs SWE-Search with Claude 4 Sonnet (73.0% vs 70.8%); +6.6pp vs SWE-Search with DeepSeek (42.0% vs 35.4%); +3.2pp vs SWE-Agent with DeepSeek (42.0% vs 38.8%); +4.2pp vs EvoCoder with DeepSeek (42.0% vs 38.0%)	$0.13 vs $0.12 per issue with DeepSeek (+8.3%); wall time 15min49s vs 12min37s (+25%); retrieval+rerank overhead 37.5s avg	yes	6.0	Effectiveness depends on the quality of extracted experiences; k>1 experiences degrade performance (42.0%→39.0% with k=4); evaluation only on Python projects; the Instructor may become over-dependent on experiences even when direct exploration would suffice	Single model per configuration (DeepSeek or Claude 4 Sonnet); SWE-bench may overlap with the LLM's training data; temporal leakage mitigated but residual (excludes same-repo + post-target); evaluation only on Python; experience quality assessed on a subset of 75 instances	gap2_cost
deng2026memcoder	Yi-Xuan Deng, Xiaoqin Liu, Yi Zhang, Guo-Wei Yang, Shuojin Yang	2026	Your Code Agent Can Grow Alongside You with Structured Memory	arXiv preprint (2603.13258)	preprint	experience_bank	hybrid	structured	llm_self_control	Vector database (FAISS) of memory entries structured as sextuples: (commit message o, code changes c, functional keywords k, problem description p, root-cause analysis r, summarized solution s). Built from historical commits via an LLM polisher (Defect Management theory). New entries are added via self-internalization of human-verified solutions.	hybrid	commit	no	openhands	DeepSeek-V3.2, GPT-5.2	autonomous	partial	benchmark	SWE-bench Verified (500)	Resolved rate (%), number of resolved issues	NR	OpenHands (Claude Opus 4.5, Claude Sonnet 4.5, GPT-5.2, Gemini 3 Pro), TRAE, DaubanCode, Live-SWE-agent, EPAM AI/Run, Atlassian Rover, ACoder, Warp	NR	NR	Grows monotonically with repository commits + internalized solutions; top-k retrieval controls exposure	NR	NR	no	MemCoder achieves 78.8% (pass@1) and 83.8% (pass@2) with GPT-5.2 on SWE-bench Verified, comparable to SOTA. With DeepSeek-V3.2, it reaches 77.8% vs 68.4% without memory (+9.4pp), showing that structured commit memory unlocks general-purpose models for complex SE.	+9.4pp vs no memory with DeepSeek-V3.2 (77.8% vs 68.4%); +3.4pp vs OpenHands+GPT-5.2 (78.8% vs ~74.4%); top-6 on the SWE-bench Verified leaderboard	NR	no	4.5	Evaluation only on SWE-bench Verified; depends on a rich commit history; memory quality limited by the LLM's distillation capability; retrieval overhead not quantified; ablation on a 200-instance subset	SWE-bench Verified as the only benchmark; DeepSeek-V3.2 and GPT-5.2 as the only models; memory built from commits of the same repository being evaluated (temporal leakage controlled but residual); cross-encoder reranker may introduce unreported latency	gap1_comparison
deshpande2025memtrack	Darshan Deshpande, Varun Gangal, Hersh Mehta, Anand Kannappan, Rebecca Qian, Peng Wang	2025	MemTrack: Evaluating Long-Term Memory and State Tracking in Multi-Platform Dynamic Agent Environments	NeurIPS 2025 Workshop: Scaling Environments for Agents (SEA)	workshop	NA	NA	NA	NA	NA — benchmark agnostic to the backend; evaluates Mem0 (ChromaDB, embeddings) and Zep (temporal knowledge graph) as memory components	NA	NA	NA	NA — evaluates agents with GPT-5 and Gemini-2.5-Pro + multi-platform tools (Slack, Linear, Git)	GPT-5, Gemini-2.5-Pro, GPT-4o-mini (embeddings for Mem0), GPT-4o (LLM-judge)	autonomous	yes	benchmark	MemTrack (47 curated instances, multi-platform: Slack, Linear, Git in a dockerized environment)	Correctness (LLM-judge), Efficiency (tool call count), Redundancy (tool call overlap), tool call entropy	NR	LLM+NoMem, LLM+Mem0, LLM+Zep (for GPT-5 and Gemini-2.5-Pro)	NR	NR	NA	NR	NR	no	Frontier LLMs such as GPT-5 reach only ~60% Correctness on MemTrack; memory components (Mem0, Zep) do not significantly improve performance and increase tool call redundancy (~21%). Performance degrades on follow-up questions.	GPT-5+Mem0 0.610 vs GPT-5+NoMem 0.601 (+1.5%); Gemini+Mem0 0.118 vs Gemini+NoMem 0.144 (-18%); Zep with no significant gain	NR	yes	4.5	Dataset limited to 47 instances; only two LLMs evaluated; Mem0 and Zep used with default configurations without optimization; simulated environment may not capture the full complexity of real workflows; no latency or cost evaluation	Only GPT-5 and Gemini-2.5-Pro tested; Mem0 and Zep with default configurations; LLM-as-judge (GPT-4o) for Correctness may introduce bias; simulated scenarios vs real enterprise workflows; 5 runs for statistical significance on a small dataset	gap1_comparison
dong2026kernelblaster	Kris Shengjun Dong, Sahil Modi, Dima Nikiforov, Sana Damani, Edward Lin, Siva Kumar Sastry Hari, Christos Kozyrakis	2026	KernelBlaster: Continual Cross-Task CUDA Optimization via Memory-Augmented In-Context Reinforcement Learning	arXiv preprint (2602.14293)	preprint	knowledge_graph	hybrid	structured	learned	Persistent CUDA Knowledge Base (~50KB JSON): hierarchy of performance states (memory-bound, compute-bound, hybrid) → lists of candidate optimizations with expected performance scores. Each entry ⟨state, (optimization, score)⟩. Updated via PolicyEvaluation (compares result vs prediction), PerfGapAnalysis (analyzes discrepancy), ParameterUpdate (rewrites the KB).	other	task	yes	custom	GPT-4.1, GPT-5.0	autonomous	yes	benchmark	KernelBench Level 1, Level 2, Level 3 (NVIDIA A6000, H100, L40S GPUs)	Geometric mean speedup, fast_p (% kernels with ≥r× speedup), ValidRate	NR	AI CUDA Engineer, IREE compiler, PyTorch (Eager + torch.compile), Kernelsseum (zero-shot), no_mem_agent (ablation)	NR	NR	~50KB Knowledge Base; grows with discovered states (~5.5 average states per kernel); accumulated optimizations ~60 unique after 8000 attempts	NR	2.4× fewer tokens than the minimal agent without a Knowledge Base	yes_partial	KernelBlaster achieves geometric mean speedups of 1.43×, 2.50× and 1.50× on KernelBench Level 1-3 vs PyTorch. The persistent Knowledge Base enables cross-task and cross-GPU transfer, with a 1.67× gain over the memoryless agent.	GeoMean 1.43× (L1), 2.50× (L2), 1.50× (L3) vs PyTorch; 1.67× vs no_mem_agent; surpasses AI CUDA Engineer in fast_p for moderate to high speedups	2.4× fewer tokens than the minimal agent without KB; KB reusable across GPUs (~50KB compact)	no	4.5	Evaluation limited to NVIDIA CUDA kernels; Level 3 has scaling challenges with single optimization per iteration; the Knowledge Base may be biased toward early entries; dependence on detailed NCU profiling for quality feedback	KernelBench as the only benchmark; specific NVIDIA GPUs (Ampere, Hopper, Ada); reward hacking possible even with correctness verification; comparison with AI CUDA Engineer under different evaluation conditions (models, hardware, test harness)	gap2_cost
du2026memory	Pengfei Du	2026	Memory for Autonomous LLM Agents: Mechanisms, Evaluation, and Emerging Frontiers	arXiv preprint (2603.07670)	preprint	NA	NA	NA	NA	NA — survey that proposes a three-dimensional taxonomy (temporal scope, representational substrate, control policy) and classifies 5 families of mechanisms: in-context compression, retrieval stores, reflective memory, hierarchical/virtual memory, and policy-learned memory	NA	NA	NA	NA — survey covers RAG, Reflexion, Generative Agents, Voyager, MemGPT, MemoryBank, ExpeL, ChatDB, AgeMem, among others	NA	NA	NA	NA	NA — analyzes LoCoMo, MemBench, MemoryAgentBench, MemoryArena as memory evaluation benchmarks	NA — proposes a 4-layer stack: task effectiveness, memory quality, efficiency, governance	NA	NA	NA	NA	NA	NA	NA	NA	Survey that formalizes agent memory as a write-manage-read loop coupled to the POMDP cycle. Proposes a taxonomy with 3 dimensions (temporal scope, representational substrate, control policy) and identifies consolidation, causal retrieval, reliable reflection, and learned forgetting as the most critical open challenges.	NA	NA	NA	2.5	No formal search/selection methodology for the survey; no original empirical data; coverage may be incomplete; comparative analysis based on qualitative descriptions of the systems	Article selection without a reproducible protocol; proposed taxonomy not empirically validated; conclusions about gaps based on qualitative observation of the field; single-author survey without formal peer review (preprint)	multiple
guo2026eet	Yaoqi Guo, Ying Xiao, Jie M. Zhang, Mark Harman, Yiling Lou, Yang Liu, Zhenpeng Chen	2026	EET: Experience-Driven Early Termination for Cost-Efficient Software Engineering Agents	arXiv preprint (2601.05777)	preprint	experience_bank	episodic	structured	llm_self_control	Structured experience objects (JSON: issue_id, task_description, execution_summary, evaluation_result, confidence, confidence_reason); abstractions of successful resolution trajectories stored in an experience base	tf_idf	task	no	custom (EET — agnostic plugin evaluated on top of Agentless, Mini-SWE-Agent, Trae Agent)	GPT-5-mini, DeepSeek-V3.2	autonomous	yes	benchmark	SWE-bench Verified (500 tasks; 207 from SWE-bench Lite for experience generation)	% Resolved, # API Calls, # Input Tokens, # Output Tokens, Total Cost ($)	NR	Agents without EET (Agentless, Mini-SWE-Agent, Trae Agent), Turn-control (Gao and Peng 2026), Naive-EET (RAG with raw trajectories)	Varies by agent: Agentless ~72K/task, Mini-SWE ~176K/task, Trae ~3.6M/task (without EET); average reduction of 29.9% with EET	Varies by agent: Agentless ~3.7K/task, Mini-SWE ~7.6K/task, Trae ~46.4K/task (without EET); average reduction of 25.1% with EET	Experiences generated from 207 SWE-bench Lite tasks; base fixed for evaluation (does not grow during testing)	Agentless GPT-5-mini: $0.028→$0.012/task (-55.1%); Trae GPT-5-mini: $0.324→$0.232/task (-28.2%); average -31.8% across 6 configurations	-29.9% input tokens, -25.1% output tokens, -20.8% API calls on average	yes_detailed	EET reduces total cost by 19.3-55.1% (average 31.8%) across 3 agents × 2 LLMs, with negligible loss in resolve rate (maximum 0.2%). Early termination identifies opportunities in 11.3% of issues on average.	+2.7% average resolve rate vs agents without EET; Agentless benefits most (+7.5% abs with GPT-5-mini)	-31.8% average total cost vs without EET; vs Turn-control: -31.8% vs -41.4% (Turn-control reduces cost more but degrades resolve rate by -10.7%)	no	5.5	Evaluation limited to SWE-bench Verified; reliance on historical data for cold start in new domains; cross-agent transferability untested; experiences are specific to each agent	SWE-bench Verified as the only benchmark; GPT-5-mini and DeepSeek-V3.2 as the only models; experiences generated from SWE-bench Lite may not represent real production issues; threshold tuning on the same dataset may overestimate gains	gap2_cost
hosain2025xolver	Md Tanzib Hosain, Salman Rahman, Md Kishor Morol, Md Rizwan Parvez	2025	Xolver: Multi-Agent Reasoning with Holistic Experience Learning Just Like an Olympiad Team	arXiv preprint (2506.14234)	preprint	hybrid	hybrid	text_context	llm_self_control	Dual memory: (1) Episodic memory D_E — external corpus of past problems with reasoning traces and solutions (OpenMathReason for math, cp-algorithms C++ for code), retrievable via BM25 or parametric LLM self-retrieval; updated with each solved problem (Xolver+). (2) Intermediate shared memory D_S — fixed-size dynamic buffer (|D_S|=m) holding the top-m tuples (reasoning trace T, response R, feedback (T_S, s), agent a) ranked by the Judge agent's score s; evolves at each intra-problem iteration.	hybrid	task	yes	custom (Xolver)	o3-mini-medium, o3-mini-high (proprietary OpenAI); QWQ-32B (open-weight)	autonomous	yes	benchmark	GSM8K, AIME 2024 (30 problems), AIME 2025 (30 problems), Math-500, LiveCodeBench v5	Accuracy (%), Pass@1	NR	LongCoT (direct backbone), Self-Reflexion, OctoTools, Search-o1, CheatSheet, CodeSim; proprietary models (o1, o3, o4-mini-high, Gemini 2.5 Pro/Flash); open-weight (DeepSeek-R1, Qwen3-235B); specialized (rStar-Math, AlphaOne, OpenMathReason, OpenCodeReason)	~45-135k total tokens per problem (input+think+output combined, varies by dataset and backbone; Figure 8)	NR (reported combined with input/think)	D_E grows monotonically with Xolver(+) cross-problem updates; D_S is a fixed-size per-problem buffer of size m (resets between problems); average gain of +3.5pp from dynamic episodic memory	NR	NR (~1.5× tokens vs Search-o1 single-agent, but with substantial performance gains)	yes_partial	Xolver with o3-mini-medium reaches 97.1% GSM8K, 93.8% AIME'24, 89.4% AIME'25, 99.2% Math-500 and 87.3% LiveCodeBench, consistently surpassing all baselines including specialized frameworks. With o3-mini-high it sets new SOTA: 98.1% GSM8K, 94.4% AIME'24, 93.7% AIME'25, 99.8% Math-500, 91.6% LiveCodeBench. Cross-problem episodic memory contributes +3.5pp on average.	+18.6pp AIME'24 avg vs o3-mini-medium LongCoT (93.8% vs 75.8%); +13.6pp AIME'25 (89.4% vs 75.8%); +21.0pp LiveCodeBench (87.3% vs 66.3%); surpasses o4-mini-high on AIME'24 (93.8% vs 93.4%) and LiveCodeBench (87.3% vs 69.5%)	~1.5× tokens vs Search-o1; update complexity O(mI) vs O(n²) of CheatSheet; runtime parallelizable across agents	no	5.5	High computational cost (~1.5× tokens of single-agent); dependent on backbone LLM quality; external retrieval corpus in C++ for Python tasks (cross-language); self-judging inferior to external judging (-9.9% code, -3.88% math); focus on math and competitive programming, with no evaluation on real SE	Math and competitive programming benchmarks may not generalize to real SE; 16-32 runs for variance but no formal confidence intervals; curated retrieval corpus (OpenMathReason, cp-algorithms) may not represent retrieval quality in other domains; comparison with proprietary models uses officially reported results	gap1_comparison
joshi2025swebenchcl	Thomas Joshi, Shayan Chowdhury, Fatih Uysal	2025	SWE-Bench-CL: Continual Learning for Coding Agents	arXiv preprint (2507.00014)	preprint	benchmark	episodic	vector	heuristic	FAISS vector index storing embeddings of task-attempt summaries (problem, solution, rationale, tool use, success status). Embeddings: OpenAI text-embedding-3-small or nomic-embed-text. Top-k retrieved and prepended to the prompt.	embeddings	task	no	swe_agent (LangGraph-based, inspired by SWE-agent, with ACI: Navigation/Search, File Viewing, Editing, Execution)	CodeLlama-13B, Gemma-3-12B, Mistral-7B (via Ollama), Gemini-2.0-Flash	autonomous	yes	benchmark	SWE-Bench-CL (273 tasks, 8 Python repositories, chronologically ordered with curriculum learning)	ACC, F (forgetting), FT (forward transfer), BWT (backward transfer), AULC, TUE (tool-use efficiency), CL-Score, CL-F_β, Pass rate	ACC, F, FT, BWT, AULC, TUE, CL-Score, CL-F_β (this paper DEFINES the CL metrics for coding agents)	memory-enabled vs memory-disabled agents (proposed protocol); standard SWE-bench harness (preliminary)	NR	NR	Grows linearly with processed tasks; no compaction or forgetting mechanism	NR	NR	no	Proposes SWE-Bench-CL, the first continual learning benchmark for coding agents (273 tasks, 8 repos). Defines a CL metric suite (ACC, F, FT, BWT, AULC, TUE, CL-F_β). Preliminary analysis reveals low inter-task similarity (Jaccard 0.11, cosine 0.18) and high sensitivity to prompt poisoning. The SWE-bench harness is incompatible with CL evaluation.	Preliminary, inconclusive: pass rates <8.5% with and without memory; the memory-enabled condition does not improve (garbage-in, garbage-out from harness incompatibility)	NR	yes	5.0	Only 8 Python repositories with up to 50 issues; difficulty estimated by human fix time (subjective); static sequence with curriculum ordering does not reflect real dynamics; full experiments are proposed but not carried out	Benchmark limited to Python; artificial curriculum ordering; proposed CL metrics not yet empirically validated at scale; SWE-bench harness incompatible with SWE-Bench-CL; preliminary models are relatively weak (7-13B)	gap1_comparison
