title	authors	year	source	decision	criterion	notes	reviewer
Smarter Together: Creating Agentic Communities of Practice through Shared Experiential Learning	Valentin Tablan, Scott Taylor, Gabriel Hurtado, Kristoffer Bernhem, Anders Uhrenholt, Gabriele Farei, Karo Moilanen	2025	database_pool	include	CI1+CE2	Spark: persistent shared agentic memory for coding agents; knowledge accumulates across sessions and agents	researcher
AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	Genghan Zhang, Shaowei Zhu, Anjiang Wei, Zhenyu Song, Allen Nie, Zhen Jia, Nandita Vijaykumar, Yida Wang, Kunle Olukotun	2025	database_pool	include	CI1+CE2	Optimization memory curates insights from past kernel pairs; cross-session persistence confirmed. CE2 borderline: HW kernel code optimization accepted as SE-adjacent	researcher
Live-SWE-agent: Can Software Engineering Agents Self-Evolve on the Fly?	Chun Xia, Zhe Wang, Yan Yang, Yuxiang Wei, Ling-kai Zhang	2025	database_pool	include	CI1+CE2	Agent autonomously evolves its scaffold across tasks; evaluated on SWE-bench Verified and SWE-Bench Pro	researcher
Traversal-as-Policy: Log-Distilled Gated Behavior Trees as Externalized, Verifiable Policies for Safe, Robust, and Efficient Agents	Peiran Li, Jiashuo Sun, Fangzhou Lin, Shuo Xing, Tianfu Fu, Suofei Feng, Chaoqun Ni, Zhengzhong Tu	2026	database_pool	include	CI1+CE2	GBT is externalized reusable artifact from distilled logs; evaluated on SWE-bench Verified. CI1 borderline: static after distillation but explicit persistent artifact	researcher
Your Code Agent Can Grow Alongside You with Structured Memory	Yi-Xuan Deng, Xiaoqin Liu, Yi Zhang, Guo-Wei Yang, Shuojin Yang	2026	database_pool	include	CI1+CE2	Seed paper (MemCoder). Structured memory for coding agents that grows across sessions	researcher
MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retrieval	Saksham Sahai Srivastava, Haoyu He	2025	database_pool	include	CI1+CE2	Studies persistent memory poisoning in coding agents; cross-session persistence is core mechanism; evaluated on MetaGPT DataInterpreter	researcher
Iterative Experience Refinement of Software-Developing Agents	Chen Qian, Jiahao Li, Yufan Dang, Wei Liu, YiFei Wang, Zihao Xie, Weize Chen, Cheng Yang, Yingli Zhang, Zhiyuan Liu, Maosong Sun	2024	database_pool	include	CI1+CE2	Cross-task experience refinement (successive + cumulative patterns) for SW dev agents	researcher
Improving Code Localization with Repository Memory	Boshi Wang, Weijian Xu, Yunsheng Li, Mei Gao, Yujia Xie, Huan Sun, Dongdong Chen	2025	database_pool	include	CI1+CE2	Seed paper. Non-parametric memory from commit history persists across bug-fixing instances; SWE-bench	researcher
Building Effective AI Coding Agents for the Terminal: Scaffolding, Harness, Context Engineering, and Lessons Learned	Nghi D. Q. Bui	2026	database_pool	include	CI1+CE2	OPENDEV: automated memory system accumulates project-specific knowledge across sessions. CI1 borderline: memory is one feature among many but explicitly cross-session	researcher
Codified Context: Infrastructure for AI Agents in a Complex Codebase	Aristidis Vasilopoulos	2026	database_pool	include	CI1+CE2	Three-component system (hot-memory, domain agents, cold-memory KB); 283 sessions on 108K-line C# codebase; codified context propagates across sessions	researcher
EET: Experience-Driven Early Termination for Cost-Efficient Software Engineering Agents	Yaoqi Guo, Ying Xiao, Jie M. Zhang, Mark Harman, Yiling Lou, Yang Liu, Zhenpeng Chen	2026	database_pool	include	CI1+CE2	Extracts structured experience from prior executions, reuses across issues; SWE-bench Verified	researcher
SWE-Bench-CL: Continual Learning for Coding Agents	Thomas Joshi, Shayan Chowdhury, Fatih Uysal	2025	database_pool	include	CI1+CE2	Seed paper. Benchmark for cross-task knowledge accumulation; FAISS-backed semantic memory module	researcher
From Knowledge to Noise: CTIM-Rover and the Pitfalls of Episodic Memory in Software Engineering Agents	Tobias Lindenbauer, Georg Groh, Hinrich Schütze	2025	database_pool	include	CI1+CE2	Seed paper. Cross-Task-Instance Memory for SE agents; negative result (memory introduces noise)	researcher
Git Context Controller: Manage the Context of LLM-based Agents like Git	Junde Wu, Minhao Hu, Jiayuan Zhu, Jiazhen Pan, Yuyuan Liu, Min Xu, Yueming Jin	2025	database_pool	include	CI1+CE2	Seed paper (GCC). Explicit cross-session context transfer via Git-like mechanism	researcher
TALM: Dynamic Tree-Structured Multi-Agent Framework with Long-Term Memory for Scalable Code Generation	Ming-Tung Shen, Yuh-Jzer Joung	2025	database_pool	include	CI1+CE2	Long-term memory module for experience reuse across tasks; HumanEval, BigCodeBench, ClassEval	researcher
MemGovern: Enhancing Code Agents through Learning from Governed Human Experiences	Qihao Wang, Ziming Cheng, Shuo Zhang, Fan Liu, Rui Xu, Heng Lian, Kunyi Wang, Xiaoming Yu, Jianghao Yin, Sen Hu, Yue Hu, Shaolei Zhang, Yanbing Liu, Ronghao Chen, Huacan Wang	2026	database_pool	include	CI1+CE2	135K governed experience cards from GitHub issues; cross-issue reuse; SWE-bench Verified +4.65%	researcher
Structurally Aligned Subtask-Level Memory for Software Engineering Agents	Kangning Shen, Jingyuan Zhang, Chenxi Sun, Wencong Zeng, Yang Yue	2026	database_pool	include	CI1+CE2	Subtask-level memory aligned with agent decomposition; cross-task; SWE-bench Verified +4.7pp	researcher
KernelBlaster: Continual Cross-Task CUDA Optimization via Memory-Augmented In-Context Reinforcement Learning	Kris Shengjun Dong, Sahil Modi, Dima Nikiforov, Sana Damani, Edward Lin, Siva Kumar Sastry Hari, Christos Kozyrakis	2026	database_pool	include	CI1+CE2	Persistent CUDA Knowledge Base accumulates across tasks; KernelBench evaluation	researcher
KAPSO: A Knowledge-grounded framework for Autonomous Program Synthesis and Optimization	Alireza Nadafian, Alireza Mohammadshahi, Majid Yazdani	2026	database_pool	include	CI1+CE2	Cognitive memory layer with episodic store of reusable lessons; ALE-Bench competitive programming	researcher
SWE-Exp: Experience-Driven Software Issue Resolution	Silin Chen, Shaoxin Lin, Yuling Shi, Heng Lian, Xiaodong Gu, Longfei Yun, Dong Chen, Lin Cao, Jiyang Liu, Nu Xia, Qianxiang Wang	2025	database_pool	include	CI1+CE2	Multi-faceted experience bank from prior trajectories; continuous learning across issues; SWE-bench Verified 73.0%	researcher
Memory for Autonomous LLM Agents: Mechanisms, Evaluation, and Emerging Frontiers	Pengfei Du	2026	database_pool	include	edge_case_1	Manual addition: analytical survey with original taxonomy (case limit #1). Contributes to QS1	researcher
CodeMEM: AST-Guided Adaptive Memory for Repository-Level Iterative Code Generation	Peiding Wang, Li Zhang, Fang Liu, Chongyang Tao, Yinghao Zhu	2026	seed_manual	include	seed_paper	Seed paper added manually; not captured by search strings. AST-guided memory for iterative code generation	researcher
MEMTRACK: Evaluating Long-Term Memory and State Tracking in Multi-Platform Dynamic Agent Environments		2025	citations	include	CI1	Benchmark for long-term memory across multi-platform agent environments (Slack, Linear, Git)	researcher
Xolver: Multi-Agent Reasoning with Holistic Experience Learning Just Like an Olympiad Team	Md Tanzib Hosain, Salman Rahman, Md Kishor Morol, Md Rizwan Parvez	2025	database_pool	include	CE2_conditional	CE2 conditional: evaluation includes LiveCodeBench-V5 (competitive programming benchmark, 91.6%)	researcher
Learn-by-interact: A Data-Centric Framework for Self-Adaptive Agents in Realistic Environments	Hongjin Su, Ruoxi Sun, Jinsung Yoon, Pengcheng Yin, Tao Yu, Sercan Ö. Arık	2025	database_pool	include	CE2_conditional	CE2 conditional: evaluation explicitly includes SWE-bench; also WebArena, OSWorld, Spider2-V	researcher
Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents	Jenny Zhang, Shengran Hu, Cong Lu, Robert Lange, Jeff Clune	2025	database_pool	include	CE2_conditional	CE2 conditional: evaluation includes SWE-bench Verified and Polyglot (multi-language coding)	researcher
Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases	Sherman Wong, Zhenting Qi, Zhaodong Wang, Nathan Hu, Samuel Lin, Jun Ge, Erwin Gao, Wenlin Chen, Yilun Du, Minlan Yu, Ying Zhang	2025	database_pool	include	CI1	Persistent Markdown note-taking system; cross-session file-based knowledge; 11k token savings, +1.4% resolve rate	researcher
TOM-SWE: User Mental Modeling For Software Engineering Agents	Xuhui Zhou, Valerie Chen, Zora Zhiruo Wang, Graham Neubig, Maarten Sap, Xingyao Wang	2025	database_pool	include	CI1	Three-tier hierarchical DB memory; cross-session user modeling; updated after each session	researcher
Mistake Notebook Learning: Batch-Clustered Failures for Training-Free Agent Adaptation	Xuanbo Su, Yingfang Zhang, Hao Luo, Xiaoteng Liu, Leo Huang	2025	database_pool	exclude	CE2	Strong CI1 mechanism (cross-session mistake notes) but zero SE benchmarks: math reasoning, Text-to-SQL, interactive tasks only	researcher
AutoContext: Instance-Level Context Learning for LLM Agents	Kuntai Cai, Juncheng Liu, Xianglin Yang, Zhaojie Niu, Xiaokui Xiao, Xing Chen	2025	database_pool	exclude	CI1+CE2	Intra-environment KG (not cross-session); benchmarks are ALFWorld, Crafter, TextWorld, InterCode-Bash (no SE)	researcher
LifelongAgentBench: Evaluating LLM Agents as Lifelong Learners	Junhao Zheng, Xidi Cai, Qiuke Li, Duzhen Zhang, ZhongZhi Li, Yingying Zhang, Le Song, Qianli Ma	2025	database_pool	exclude	CE2	Strong CI1 (lifelong learning benchmark) but evaluation environments are DB, OS, KG only — no SE/coding benchmarks	researcher
MARCO: Meta-Reflection with Cross-Referencing for Code Reasoning	Yusheng Zhao, Xiao Luo, Weizhi Zhang, Wei Ju, Zhiping Xiao, Philip S. Yu, Ming Zhang	2025	database_pool	exclude	CI1	Knowledge accumulates during inference within one session; not cross-session persistence	researcher
Self-Abstraction from Grounded Experience for Plan-Guided Policy Refinement	Hiroaki Hayashi, Bo Pang, Wenting Zhao, Ye Liu, Akash Gokul, Srijan Bansal, Caiming Xiong, Semih Yavuz, Yingbo Zhou	2025	database_pool	exclude	CI1	Intra-task retry loop on same instance; plan does not transfer to different tasks	researcher
Multi-CoLoR: Context-Aware Localization and Reasoning across Multi-Language Codebases	Indira Vats, Sanjukta De, Subhayan Roy, Saurabh Bodhe, Lejin Varghese, Max Kiehn, Yonas Bedasso, M. Chechik	2026	database_pool	exclude	CI1	Retrieves existing project history (similar issue context); agent does not write/accumulate cross-session knowledge	researcher
CASCADE: Cumulative Agentic Skill Creation through Autonomous Development and Evolution	Xu Huang, Junwu Chen, Yuxing Fei, Zhuohan Li, Philippe Schwaller, Gerbrand Ceder	2025	database_pool	exclude	CE2	Evaluation uses SciSkillBench only (116 materials science/chemistry tasks); no SE benchmarks	researcher
Memory Management and Contextual Consistency for Long-Running Low-Code Agents	Jiexi Xu	2025	database_pool	exclude	CE2	Evaluation uses simulated LCNC planning task (500-turn); no SE benchmarks	researcher
MetaReflection: Learning Instructions for Language Agents using Past Reflections	Priyanshu Gupta, Shashank Kirtania, Ananya Singha, Sumit Gulwani, Arjun Radhakrishna, Sherry Shi, Gustavo Soares	2024	database_pool	exclude	CE2	Evaluation covers IaC vuln detection, BigBench-Hard, Biosses, HotpotQA; no SE benchmarks	researcher
Self-Generated In-Context Examples Improve LLM Agents for Sequential Decision-Making Tasks	Vishnu Sarukkai, Zhiqiang Xie, Kayvon Fatahalian	2025	database_pool	exclude	CE2	Evaluation uses ALFWorld, Wordcraft, InterCode-SQL; no standard SE benchmarks	researcher
ML-Agent: Reinforcing LLM Agents for Autonomous Machine Learning Engineering	Zexi Liu, Jingyi Chai, Xinyu Zhu, Shuo Tang, Rui Ye, Bo Zhang, Lei Bai, Siheng Chen	2025	database_pool	exclude	CE2	Evaluation uses MLAgentBench and MLE-Bench only (ML tasks); no SE benchmarks	researcher
Youtu-Agent: Scaling Agent Productivity with Automated Generation and Hybrid Policy Optimization	Yuchen Shi, Yuzheng Cai, Siqi Cai, Zihan Xu, Lichao Chen, Yulei Qin, Zhijian Zhou, Xiang Fei, Chaofan Qiu, Xiaoyu Tan, Gang Li, Zongyi Li, Haojia Lin, Guocan Cai, Yong Mao, Yunsheng Wu, Ke Li, Xing Sun	2025	database_pool	exclude	CE2	Evaluation uses WebWalkerQA, GAIA, AIME, TriviaQA, PopQA, NaturalQuestions; no SE benchmarks	researcher
CodeDistiller: Automatically Generating Code Libraries for Scientific Coding Agents	Peter Jansen, Samiah Hassan, Pragnya Narasimha	2025	database_pool	exclude	CE2	Evaluation on 250 materials science GitHub repos and 60 discovery problems; scientific coding, not SE	researcher
DSMentor: Enhancing Data Science Agents with Curriculum Learning and Online Knowledge Accumulation	He Wang, Alexander Hanbo Li, Yiqun Hu, Sheng Zhang, Hideo Kobayashi, Jiani Zhang, Henry Zhu, Chung-Wei Hang, Patrick Ng	2025	database_pool	exclude	CE2	Evaluation uses DSEval and QRData (data science/statistics tasks); no SE benchmarks	researcher
CraniMem: Cranial Inspired Gated and Bounded Memory for Agentic Systems	Pearl Mody, Mihir Panchal, Rishit Kar, Kiran Bhowmick, Ruhina Karani	2026	database_pool	exclude	CE2	Evaluation uses HotpotQA only (100 instances); no SE/coding benchmarks	researcher
SWE-Replay: Efficient Test-Time Scaling for Software Engineering Agents	Yifeng Ding, Lingming Zhang	2026	database_pool	exclude	CE1	Per-task retry archive; archive initialized fresh per issue, no cross-task transfer	researcher
A Scalable Benchmark for Repository-Oriented Long-Horizon Conversational Context Management	Yang Liu, Li Zhang, Fang Liu, Ping Lin, Xinyi Li	2026	database_pool	exclude	CE1	Benchmark for intra-session context management methods; evaluates compression/summarization within one conversation	researcher
EvoGit: Decentralized Code Evolution via Git-Based Multi-Agent Collaboration	Beichen Huang, Ran Cheng, Kay Chen Tan	2025	database_pool	exclude	CE1	Git-based coordination but intra-project only; agents do not retain long-term memory; new tasks start from blank slate	researcher
AgentDevel: Reframing Self-Evolving LLM Agents as Release Engineering	Di Zhang	2026	database_pool	exclude	CI1	Release engineering pipeline improves agent code, not runtime knowledge accumulation; meta-optimization of the agent itself	researcher
PARC: An Autonomous Self-Reflective Coding Agent for Robust Execution of Long-Horizon Tasks	Yuki Orimo, Hodaka Mori, Ryuhei Okuno, Ryohto Sawada, Daisuke Okanohara	2025	database_pool	exclude	CE1	Intra-task hierarchical self-feedback; no persistent experience store across independent sessions	researcher
Reflection-Driven Control for Trustworthy Code Agents	Bin Wang, Jiazheng Quan, Xingrui Yu, Hansen Hu, Yuhao, Ivor Tsang	2025	database_pool	exclude	CE1	ChromaDB memory accumulates within evaluation rounds, not across independent sessions; incidental to main contribution	researcher
DockSmith: Scaling Reliable Coding Environments via an Agentic Docker Builder	Jiaran Zhang, Luck Ma, Yanhao Li, Fanqi Wan, Di Qi, Xu Zhao, Jieyi Hou, Zhe Xie, Mengqiang Ren, Xin Wu, Zhewei Huang, Liangyu Chen, Yingwei Ma, Qi Han, Xiangyu Zhang	2026	database_pool	exclude	CI1	Cross-task success memory is training-pipeline only; final product is fine-tuned 30B model (parametric)	researcher
Offline Training of Language Model Agents with Functions as Learnable Weights	Shaokun Zhang, Jieyu Zhang, Jiale Liu, Linxin Song, Chi Wang, Ranjay Krishna, Qingyun Wu	2024	database_pool	exclude	CI1	Functions stored as code artifacts but optimization is offline only; functions frozen after training, no runtime accumulation	researcher
